iter	Passed	Remaining
793	1416	367
794	1418	365
795	1420	364
796	1422	362
797	1426	361
798	1429	359
799	1430	357
800	1432	355
801	1434	354
802	1436	352
803	1437	350
804	1439	348
805	1441	347
806	1444	345
807	1446	343
808	1448	341
809	1450	340
810	1452	338
811	1455	336
812	1456	335
813	1458	333
814	1461	331
815	1463	330
816	1466	328
817	1470	327
818	1473	325
819	1475	323
820	1479	322
821	1481	320
822	1484	319
823	1487	317
824	1490	316
825	1494	314
826	1497	313
827	1502	312
828	1504	310
829	1507	308
830	1509	306
831	1510	305
832	1515	303
833	1517	301
834	1520	300
835	1524	299
836	1529	297
837	1533	296
838	1537	295
839	1540	293
840	1546	292
841	1550	291
842	1554	289
843	1560	288
844	1565	287
845	1570	285
846	1575	284
847	1579	283
848	1582	281
849	1586	279
850	1590	278
851	1593	276
852	1596	275
853	1598	273
854	1602	271
855	1606	270
856	1609	268
857	1613	266
858	1616	265
859	1620	263
860	1624	262
861	1627	260
862	1629	258
863	1631	256
864	1635	255
865	1637	253
866	1640	251
867	1642	249
868	1644	247
869	1650	246
870	1653	244
871	1656	243
872	1658	241
873	1661	239
874	1666	238
875	1669	236
876	1672	234
877	1674	232
878	1677	230
879	1681	229
880	1683	227
881	1684	225
882	1686	223
883	1688	221
884	1689	219
885	1695	218
886	1697	216
887	1698	214
888	1700	212
889	1702	210
890	1703	208
891	1705	206
892	1707	204
893	1709	202
894	1711	200
895	1713	198
896	1714	196
897	1716	194
898	1717	193
899	1719	191
900	1720	189
901	1723	187
902	1724	185
903	1725	183
904	1727	181
905	1728	179
906	1730	177
907	1731	175
908	1732	173
909	1734	171
910	1735	169
911	1737	167
912	1739	165
913	1740	163
914	1742	161
915	1744	159
916	1745	158
917	1748	156
918	1750	154
919	1752	152
920	1754	150
921	1757	148
922	1759	146
923	1762	144
924	1765	143
925	1769	141
926	1772	139
927	1775	137
928	1778	135
929	1784	134
930	1787	132
931	1789	130
932	1793	128
933	1798	127
934	1802	125
935	1804	123
936	1808	121
937	1814	119
938	1819	118
939	1822	116
940	1826	114
941	1830	112
942	1835	110
943	1840	109
944	1846	107
945	1851	105
946	1854	103
947	1859	102
948	1864	100
949	1870	98
950	1875	96
951	1880	94
952	1886	93
953	1893	91
954	1897	89
955	1900	87
956	1902	85
957	1907	83
958	1910	81
959	1913	79
960	1915	77
961	1917	75
962	1923	73
963	1925	71
964	1927	69
965	1929	67
966	1930	65
967	1932	63
968	1936	61
969	1939	59
970	1941	57
971	1943	55
972	1945	53
973	1947	51
974	1952	50
975	1954	48
976	1956	46
977	1958	44
978	1960	42
979	1962	40
980	1968	38
981	1969	36
982	1972	34
983	1974	32
984	1976	30
985	1981	28
986	1985	26
987	1987	24
988	1989	22
989	1991	20
990	1993	18
991	1996	16
992	1998	14
993	2000	12
994	2002	10
995	2004	8
996	2006	6
997	2012	4
998	2016	2
999	2019	0
